feature_id,surface,feature_name,user_story,expected_behavior,coverage_target,coverage_source,owning_files,existing_checks,verification_command,command_name,command_level,command_safety,command_class,verification_mode,expected_failure_class,live_dependency,mutates_state,release_gate_id,baseline_latency_ms,post_fix_latency_ms,code_status,host_status,optimization_opportunity,optimization_verdict,optimization_evidence,proof_type,status,last_result,errors,next_action
CLI-011,drilldown,Intent route recommendation,"As an agent, I want to ask which source fits an intent so I can pick live, mirror, or archive explicitly.","telegram-source-route scores an intent and prints the primary source, backend, warnings, tools_first, and blocked sources.",feature:CLI-011,feature-status-inventory,bin/telegram-source-route; src/telegram_control_plane/source_routing.py; src/telegram_control_plane/cli.py,tests/test_source_routing.py,./bin/telegram-source-route 'что нового за сегодня' --json,telegram-source-route,drilldown,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-012,drilldown,LaunchAgent audit,"As an operator, I want LaunchAgent checks so active Telegram daemons do not expose secrets and match expected state.","telegram-launchd-audit inspects configured LaunchAgents, expected labels, env-file usage, and secret leakage policy.",feature:CLI-012,feature-status-inventory,bin/telegram-launchd-audit; src/telegram_control_plane/audits.py; policy/launchd-jobs.json,tests/test_control_plane.py; tests/test_doctor.py,./bin/telegram-launchd-audit --json,telegram-launchd-audit,drilldown,read-only,operational,local,none,false,false,,,,pass,pass,blocked on explicit mirror/launchd maintenance decision; do not change runtime silently,improved,Mirror LaunchAgent autostart was disabled and unloaded; launchd audit now reports no blocking findings.,command-json,tested_pass,launchd ok,,keep covered
CLI-013,drilldown,Session audit,"As an operator, I want session file checks so Telegram credentials stay in expected private locations.",telegram-session-audit validates session path policy and permissions without copying sessions into this repo.,feature:CLI-013,feature-status-inventory,bin/telegram-session-audit; src/telegram_control_plane/audits.py; policy/sessions.json,tests/test_doctor.py; tests/test_command_registry.py,./bin/telegram-session-audit --json,telegram-session-audit,drilldown,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,sessions ok,,keep covered
CLI-014,drilldown,Plugin drift audit,"As a maintainer, I want plugin source, marketplace alias, live skill, and installed cache compared so packaging drift is visible.",telegram-plugin-drift compares portable package/version/cache/symlink state and reports materialization needs.,feature:CLI-014,feature-status-inventory,bin/telegram-plugin-drift; src/telegram_control_plane/audits.py; src/telegram_control_plane/paths.py; plugin,tests/test_control_plane.py; tests/test_command_registry.py,./bin/telegram-plugin-drift --json,telegram-plugin-drift,drilldown,read-only,read-only,local,none,false,false,plugin-drift,182,,pass,pass,measure baseline and compare before changing,acceptable,Release gate metadata and command proof cover this path via gate plugin-drift.,command-json,tested_pass,plugin_drift ok,,keep covered
CLI-015,drilldown,Telemetry status,"As an operator, I want MCP telemetry summarized so tool errors, slow tools, and stale stats are visible before routing changes.","telegram-telemetry-status reads local telemetry logs/stats, Prometheus targets, thresholds, tool error buckets, write summaries, and slow tools.",feature:CLI-015,feature-status-inventory,bin/telegram-telemetry-status; src/telegram_control_plane/audits.py; policy/telemetry/*,tests/test_control_plane.py; tests/test_insights.py,./bin/telegram-telemetry-status --json,telegram-telemetry-status,drilldown,read-only,read-only,local,none,false,false,,420,,pass,pass,measure baseline and compare before changing,acceptable,Current local baseline is 403ms with command-json proof; no concrete faster safe change identified yet.,command-json,tested_pass,mcp_telemetry ok,,keep covered
CLI-016,drilldown,Telemetry insights,"As an operator, I want actionable telemetry insights so noisy raw metrics turn into prioritized observations.",telegram-insights summarizes telemetry health and useful next checks from MCP telemetry data.,feature:CLI-016,feature-status-inventory,bin/telegram-insights; src/telegram_control_plane/insights.py,tests/test_insights.py,./bin/telegram-insights --json,telegram-insights,drilldown,read-only,read-only,local,none,false,false,,423,,pass,pass,measure baseline and compare before changing,acceptable,Telemetry insight recommendation now distinguishes media/download latency from generic slow-tool advice.,command-json,tested_pass,post-fix pass,,keep covered
CLI-017,drilldown,Telecrawl archive gap audit,"As an operator, I want archive gaps classified so terminal access errors stop retry loops while retryable gaps remain visible.",telegram-telecrawl-status separates retryable and terminal telecrawl errors and labels archive evidence as not live truth.,feature:CLI-017,feature-status-inventory,bin/telegram-telecrawl-status; src/telegram_control_plane/telecrawl_gap.py; src/telegram_control_plane/audits.py; policy/telecrawl.json,tests/test_telecrawl_gap.py; tests/test_control_plane.py,./bin/telegram-telecrawl-status --json,telegram-telecrawl-status,drilldown,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,telecrawl ok,,keep covered
CLI-018,drilldown,Docs audit,"As a maintainer, I want docs and skill references checked for drift so agent instructions match the current package.",telegram-docs-audit verifies documented plugin version/surface assumptions and docs sync invariants.,feature:CLI-018,feature-status-inventory,bin/telegram-docs-audit; src/telegram_control_plane/audits.py; docs/agents/*; plugin/skills/telegram,tests/test_control_plane.py; tests/test_surface_docs.py,./bin/telegram-docs-audit --json,telegram-docs-audit,drilldown,read-only,read-only,local,none,false,false,docs-audit,,,pass,pass,measure baseline and compare before changing,acceptable,Release gate metadata and command proof cover this path via gate docs-audit.,command-json,tested_pass,docs ok,,keep covered
CLI-019,drilldown,Managed systems inventory,"As an operator, I want a canonical inventory of Telegram repos, runtimes, plugin surfaces, and protected data roots.",telegram-managed-systems reads policy/managed-systems.json and fails closed on missing blocking-protected paths.,feature:CLI-019,feature-status-inventory,bin/telegram-managed-systems; src/telegram_control_plane/managed_systems.py; policy/managed-systems.json,tests/test_managed_systems.py,./bin/telegram-managed-systems --json,telegram-managed-systems,drilldown,read-only,read-only,local,none,false,false,managed-systems,111,,pass,pass,measure baseline and compare before changing,acceptable,Release gate metadata and command proof cover this path via gate managed-systems.,command-json,tested_pass,managed_systems ok,,keep covered
CLI-020,drilldown,Mirror recovery audit,"As an operator, I want mirror recovery state audited separately from live Telegram runtime.",telegram-mirror-audit reports mirror recovery candidate state without promoting or starting mirror jobs.,feature:CLI-020,feature-status-inventory,bin/telegram-mirror-audit; src/telegram_control_plane/audits.py; policy/mirror.json,tests/test_doctor.py; tests/test_command_registry.py,./bin/telegram-mirror-audit --json,telegram-mirror-audit,drilldown,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,improved,Direct executable wrapper path was repaired and covered by command smoke.,command-json,tested_pass,telegram_mirror ok,,keep covered
CLI-021,drilldown,Runtime inventory,"As an operator, I want Telegram-related runtime processes/daemons inventoried without guessing watcher state.",telegram-runtime-inventory audits configured runtime process/daemon expectations and reports observed status.,feature:CLI-021,feature-status-inventory,bin/telegram-runtime-inventory; src/telegram_control_plane/runtime_inventory.py; policy/runtime-inventory.json,tests/test_runtime_inventory.py; tests/test_doctor.py,./bin/telegram-runtime-inventory --json,telegram-runtime-inventory,drilldown,read-only,operational,local,none,false,false,,,,pass,pass,blocked on explicit mirror/launchd maintenance decision; do not change runtime silently,improved,Runtime inventory now passes after mirror LaunchAgent cleanup and mirror job filtering fix.,command-json,tested_pass,runtime_inventory ok,,keep covered
CLI-022,drilldown,API gap audit,"As a maintainer, I want Telegram API/Bot API capability gaps audited without enabling writes.","telegram-api-gap-audit reports supported, missing, and intentionally unavailable API capability areas.",feature:CLI-022,feature-status-inventory,bin/telegram-api-gap-audit; src/telegram_control_plane/api_gap_audit.py,tests/test_api_gap_audit.py,./bin/telegram-api-gap-audit --json,telegram-api-gap-audit,drilldown,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-023,maintenance,Maintenance doctor,"As an operator, I want a broad estate audit so release/plugin/archive/telemetry/recovery warnings are visible outside the daily hot path.","telegram-maintenance-doctor runs the maintenance profile, includes broad components, and treats blocking findings as release blockers.",feature:CLI-023,feature-status-inventory,bin/telegram-maintenance-doctor; src/telegram_control_plane/doctor.py; src/telegram_control_plane/doctor_profiles.py,tests/test_doctor.py; tests/test_command_registry.py,./bin/telegram-maintenance-doctor --json --no-write-registry,telegram-maintenance-doctor,maintenance,read-only,operational,local,none,false,false,,,,pass,pass,blocked on explicit mirror/launchd maintenance decision; do not change runtime silently,improved,Maintenance blocker cleared by disabling loaded mirror LaunchAgent and narrowing mirror preflight job detection.,command-json,tested_pass,maintenance ok,,keep covered
CLI-024,maintenance,Dry-run repair plan,"As an operator, I want an ordered dry-run repair plan so I can see touched paths, verification, and rollback before applying anything.","telegram-repair-plan maps current findings to policy-backed repair steps, safety, order, and verification commands without applying changes.",feature:CLI-024,feature-status-inventory,bin/telegram-repair-plan; src/telegram_control_plane/audit_remediation.py; policy/audit-remediation.json,tests/test_audit_remediation.py,./bin/telegram-repair-plan --json,telegram-repair-plan,maintenance,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-025,maintenance,Guarded repair apply,"As an operator, I want only allowlisted safe repairs to apply automatically so maintenance cannot mutate broad runtime state accidentally.",telegram-repair-plan-apply applies only auto-apply steps allowed by policy and otherwise reports skipped/guarded steps.,feature:CLI-025,feature-status-inventory,bin/telegram-repair-plan-apply; src/telegram_control_plane/audit_remediation.py; policy/audit-remediation.json,tests/test_audit_remediation.py,python3 -m pytest tests/test_control_plane.py::test_apply_repair_plan_runs_only_auto_apply_steps -q,telegram-repair-plan-apply,maintenance,guarded,guarded,safe-local,none,false,true,,,,pass,not_applicable,keep guarded apply out of normal smoke; verify through safe fixture unless explicit maintenance approval exists,acceptable,Guarded apply is verified only through safe unit fixture; real apply requires explicit maintenance approval.,behavior-fixture,tested_pass_safe_apply,post-fix pass: unit fixture proves only allowlisted auto-apply steps run,,keep guarded by policy
CLI-026,maintenance,Mirror preflight gate,"As an operator, I want mirror promotion gated so recovery exports are not treated as runtime until checks pass.",telegram-mirror-preflight verifies mirror readiness before any promotion from recovery to runtime.,feature:CLI-026,feature-status-inventory,bin/telegram-mirror-preflight; src/telegram_control_plane/audits.py; policy/mirror.json,tests/test_control_plane.py; tests/test_doctor.py,./bin/telegram-mirror-preflight --json,telegram-mirror-preflight,maintenance,read-only,operational,local,none,false,false,,,,pass,pass,blocked on explicit mirror/launchd maintenance decision; do not change runtime silently,improved,"Mirror preflight passes after cold-mode cleanup, mirror-only launchd filtering, and restoring local mirror .venv Python.",command-json,tested_pass,post-fix pass,,keep covered
CLI-027,maintenance,Music autoclean dry-run,"As an operator, I want a dry-run classifier for music channel cleanup so candidate post actions can be reviewed before any watcher mutates state.",telegram-music-autoclean classifies messages using policy and defaults to read-only/dry-run behavior.,feature:CLI-027,feature-status-inventory,bin/telegram-music-autoclean; src/telegram_control_plane/music_autoclean.py; scripts/launchagents/com.sereja.telegram-music-autoclean.plist.template,tests/test_music_autoclean.py; tests/test_music_autoclean_launchagent.py,./bin/telegram-music-autoclean --json,telegram-music-autoclean,maintenance,read-only,read-only,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-028,release,Golden read smoke,"As a maintainer, I want live read smokes over golden dialogs so release checks prove the expected dialogs are readable.","telegram-golden-read-smoke uses policy/golden-dialogs.json and is intended for release/live-smoke verification, with CI skip support.",feature:CLI-028,feature-status-inventory,bin/telegram-golden-read-smoke; src/telegram_control_plane/golden_read_smoke.py; policy/golden-dialogs.json,tests/test_golden_read_smoke.py,TELEGRAM_GOLDEN_READ_SKIP=1 ./bin/telegram-golden-read-smoke --json,telegram-golden-read-smoke,release,read-only,release-gate,release,none,true,false,tg-read-smoke,,,pass,pass,measure baseline and compare before changing,acceptable,Release gate metadata and command proof cover this path via gate tg-read-smoke.,command-json,tested_pass,golden_read_smoke ok,,keep covered
CLI-029,release,Release gate runner,"As a maintainer, I want one release gate command so local/CI pre-release checks run in a defined order.",telegram-release-gate runs policy-defined gates; CI mode uses docs audit and pytest only while local mode includes live/manual smokes.,feature:CLI-029,feature-status-inventory,bin/telegram-release-gate; src/telegram_control_plane/release_gate.py; policy/release-gates.json,.github/workflows/*; tests/test_release_gate.py,./bin/telegram-release-gate --ci,telegram-release-gate,release,read-only,release-gate,release,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current command-json proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,command-json,tested_pass,post-fix pass,,keep covered
CLI-030,release,Release gate configuration audit,"As a maintainer, I want to audit release gate configuration without running gates so I can inspect command definitions safely.",telegram-release-gates validates release gate policy shape and reports configured local/CI gates.,feature:CLI-030,feature-status-inventory,bin/telegram-release-gates; src/telegram_control_plane/audits.py; policy/release-gates.json,tests/test_release_gate.py; tests/test_command_registry.py,./bin/telegram-release-gates --json,telegram-release-gates,release,read-only,release-gate,release,none,false,false,release-gates,678,,pass,pass,measure baseline and compare before changing,acceptable,Release gate metadata and command proof cover this path via gate release-gates.,command-json,tested_pass,release_gates ok,,keep covered
CLI-031,maintenance,Agent docs sync,"As a maintainer, I want skill references synced into MCP agent docs so plugin docs and runtime docs agree.",telegram-agent-docs-sync supports check/sync workflows and is mutating when not in check mode.,feature:CLI-031,feature-status-inventory,bin/telegram-agent-docs-sync; plugin/skills/telegram/agent-docs; plugin/skills/telegram/references,tests/test_control_plane.py; tests/test_surface_docs.py,./bin/telegram-agent-docs-sync --check --json,telegram-agent-docs-sync,maintenance,mutating,check-mode,safe-local,none,false,true,agent-docs-check,,,pass,pass,measure baseline and compare before changing,acceptable,Safe check-mode verification is the correct non-mutating proof for this feature.,command-json,tested_pass,agent_docs_sync ok,,keep covered
CLI-032,maintenance,Adapter install audit,"As a maintainer, I want portable adapter install state checked so Codex adapter files stay materialized correctly.",telegram-install-adapters audits generated adapter state without installing unless explicitly requested elsewhere.,feature:CLI-032,feature-status-inventory,bin/telegram-install-adapters; src/telegram_control_plane/kit_install.py; generated/adapters,tests/test_kit_install.py; tests/test_command_registry.py,./bin/telegram-install-adapters --json,telegram-install-adapters,maintenance,read-only,read-only,local,none,false,false,install-adapters,,,pass,pass,measure baseline and compare before changing,acceptable,Release gate metadata and command proof cover this path via gate install-adapters.,command-json,tested_pass,install_adapters ok,,keep covered
CLI-033,maintenance,Telegram kit local installer,"As a maintainer, I want local kit symlinks installed or checked so tg is available on PATH.",telegram-kit manages/checks local tg entrypoint symlinks and is mutating for install/local operations.,feature:CLI-033,feature-status-inventory,bin/telegram-kit; src/telegram_control_plane/kit_install.py,tests/test_kit_install.py,./bin/telegram-kit --dry-run --json,telegram-kit,maintenance,mutating,dry-run,safe-local,none,false,true,,,,pass,not_applicable,measure baseline and compare before changing,acceptable,Safe dry-run verification is the correct non-mutating proof for this feature.,command-json,tested_pass_dry_run,dry-run pass,,keep dry-run before install
SKILL-001,skill,Live read routing,"As an agent, I want current/today/latest Telegram reads to use live MCP or tg first so answers reflect current Telegram state.",The skill routes today/latest/recent/current tasks to live_mcp or tg/telegram-fast-read-today and stops on live gaps instead of using mirror/archive.,feature:SKILL-001,feature-status-inventory,plugin/skills/telegram/SKILL.md; references/facade-routing.md; references/source-evidence-broker.md,tests/test_source_routing.py; tests/test_surface_docs.py,python3 plugin/skills/telegram/scripts/smoke_exporter_contract.py --help,subscriber-exporter-contract,skill,read-only,behavior-fixture,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current behavior-fixture proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,behavior-fixture,tested_pass,post-fix pass,,keep covered
SKILL-002,skill,Telegram search,"As an agent, I want keyword search in a known dialog so I can fetch only relevant context around hits.","The skill routes known-dialog keyword searches to telegram_search first, then scoped context for important matches.",feature:SKILL-002,feature-status-inventory,plugin/skills/telegram/SKILL.md; agent-docs/tools.md; references/facade-routing.md,tests/test_source_routing.py; tests/test_control_plane.py,./bin/telegram-source-route 'найди сообщение про docker' --json,telegram-source-route,drilldown,read-only,behavior-fixture,local,none,false,false,,,,pass,pass,measure baseline and compare before changing,acceptable,Current behavior-fixture proof passes; no concrete optimization justified by deletion-test/locality evidence yet.,behavior-fixture,tested_pass,post-fix pass,,keep covered
SKILL-003,skill,Draft reply without sending,"As an agent, I want reply drafting to produce a draft only so no Telegram write happens without explicit permission.",Draft intent uses telegram_prepare_reply/preview helpers and never sends or grants later send permission by itself.,feature:SKILL-003,feature-status-inventory,plugin/skills/telegram/SKILL.md; agent-docs/writes.md; references/facade-routing.md,tests/test_surface_docs.py; tests/test_skill_behavior.py,python3 -m pytest tests/test_skill_behavior.py::test_draft_reply_intent_never_sends -q,telegram-skill-contract,skill,read-only,behavior-fixture,local,none,false,false,,,,pass,not_applicable,behavior fixture covers positive and fail-closed cases; keep Markdown doc contract aligned,improved,Proof upgraded from doc/rg-only to positive and fail-closed local behavior fixture.,behavior-fixture,tested_pass_behavior_fixture,post-fix pass: positive and fail-closed behavior fixture covered,,keep covered; add live probe only if a future task needs it
SKILL-004,skill,Explicit send workflow,"As an agent, I want sends to require stable target and exact text so fuzzy identity cannot cause a wrong Telegram write.","Send/edit/delete/forward/pin/react require explicit write intent, stable dialog identity, and exact text/message ids; fuzzy targets stop and ask.",feature:SKILL-004,feature-status-inventory,plugin/skills/telegram/SKILL.md; agent-docs/writes.md; references/facade-routing.md,tests/test_surface_contract.py; tests/test_control_plane.py; tests/test_skill_behavior.py,python3 -m pytest tests/test_skill_behavior.py::test_explicit_send_requires_stable_target_and_exact_text -q,telegram-skill-contract,skill,read-only,behavior-fixture,local,none,false,false,,,,pass,not_applicable,behavior fixture covers positive and fail-closed cases; keep Markdown doc contract aligned,improved,Proof upgraded from doc/rg-only to positive and fail-closed local behavior fixture.,behavior-fixture,tested_pass_behavior_fixture,post-fix pass: positive and fail-closed behavior fixture covered,,keep covered; add live probe only if a future task needs it
SKILL-005,skill,Preview-to-send guard,"As an agent, I want previewed messages to be sent only if target and text are unchanged in the same turn.","Send-it after preview is valid only same-turn with unchanged resolved target, reply id, and exact message text; otherwise prepare again or ask.",feature:SKILL-005,feature-status-inventory,plugin/skills/telegram/SKILL.md; agent-docs/writes.md,tests/test_surface_docs.py; tests/test_skill_behavior.py,python3 -m pytest tests/test_skill_behavior.py::test_preview_to_send_requires_same_turn_unchanged_preview -q,telegram-skill-contract,skill,read-only,behavior-fixture,local,none,false,false,,,,pass,not_applicable,behavior fixture covers positive and fail-closed cases; keep Markdown doc contract aligned,improved,Proof upgraded from doc/rg-only to positive and fail-closed local behavior fixture.,behavior-fixture,tested_pass_behavior_fixture,post-fix pass: positive and fail-closed behavior fixture covered,,keep covered; add live probe only if a future task needs it
SKILL-006,skill,Media inspection truth,"As an agent, I want media answers based on downloaded files so captions or metadata are not mistaken for visual evidence.","Media/photo/video/sticker questions require scoped ids, media download, and actual local inspection before describing content.",feature:SKILL-006,feature-status-inventory,plugin/skills/telegram/SKILL.md; references/media-and-voice.md; agent-docs/media.md,tests/test_surface_docs.py; tests/test_skill_behavior.py,python3 -m pytest tests/test_skill_behavior.py::test_media_visual_answers_require_downloaded_file_evidence -q,telegram-skill-contract,skill,read-only,behavior-fixture,local,none,false,false,,,,pass,not_applicable,behavior fixture covers positive and fail-closed cases; keep Markdown doc contract aligned,improved,Proof upgraded from doc/rg-only to positive and fail-closed local behavior fixture.,behavior-fixture,tested_pass_behavior_fixture,post-fix pass: positive and fail-closed behavior fixture covered,,keep covered; add live probe only if a future task needs it
SKILL-007,skill,Voice handling,"As an agent, I want voice tasks to use Telegram MCP/Telethon transcription only when available and not external services by default.",Voice transcription uses built-in Telegram MCP/Telethon routes where available and avoids external APIs or local CPU Whisper unless explicitly approved.,feature:SKILL-007,feature-status-inventory,plugin/skills/telegram/SKILL.md; references/media-and-voice.md,tests/test_surface_docs.py; tests/test_skill_behavior.py,python3 -m pytest tests/test_skill_behavior.py::test_voice_handling_uses_builtin_or_blocks_external_services -q,telegram-skill-contract,skill,read-only,behavior-fixture,local,none,false,false,,,,pass,not_applicable,behavior fixture covers positive and fail-closed cases; keep Markdown doc contract aligned,improved,Proof upgraded from doc/rg-only to positive and fail-closed local behavior fixture.,behavior-fixture,tested_pass_behavior_fixture,post-fix pass: positive and fail-closed behavior fixture covered,,keep covered; add live probe only if a future task needs it
